timestam,tyl Y,tyl X,przod Y,przod X,drift
0.024486,2.5025,22.9,2.4786,22.569,1
0.048034,1.432,15.615,1.427,15.515,1
0.070908,0.85546,9.6728,0.85466,9.6487,1
0.093255,0.56329,4.5906,0.56323,4.5875,1
0.11516,0.4493,0.024281,0.4493,0.024281,0
0.13665,0.44071,4.5341,0.44071,4.5338,1
0.15774,0.3586,9.2391,0.3587,9.2318,1
0.17844,0.17684,14.476,0.17761,14.444,1
0.1987,-0.16707,20.642,-0.16365,20.548,1
0.21852,-0.79517,28.234,-0.78322,28,1
0.23785,-1.9298,37.87,-1.8925,37.333,1
0.2567,-3.9463,50.241,-3.8378,49.067,1
0.27508,-7.5116,65.864,-7.2136,63.41,1
0.29315,-13.31,83.849,-12.54,79.011,1
0.31119,-19.501,97.656,-17.959,89.88,1
0.32931,-20.486,98.243,-18.799,90.054,1
0.34759,-18.657,92.206,-17.232,85.037,1
0.36609,-15.531,82.712,-14.512,77.144,1
0.38485,-12.1,71.815,-11.458,67.873,1
0.40389,-9.0468,61.152,-8.6757,58.528,1
0.42321,-6.6299,51.625,-6.4253,49.939,1
0.4428,-4.7859,43.547,-4.6751,42.478,1
0.46259,-3.3968,37.026,-3.3376,36.35,1
0.4825,-2.514,32.623,-2.4792,32.162,1
0.50244,-2.0424,30.383,-2.0173,30.017,1
0.52236,-1.8129,29.779,-1.791,29.445,1
0.54218,-1.7565,30.629,-1.7337,30.279,1
0.56181,-1.8708,33.054,-1.8425,32.639,1
0.58117,-2.2245,37.532,-2.1826,36.967,1
0.60013,-3.0263,45.107,-2.9505,44.217,1
0.61855,-4.8593,57.918,-4.6889,56.271,1
0.63625,-9.4479,80.345,-8.9574,76.683,1
0.6532,-21.8,120.62,-19.986,110.86,1
0.66981,-52.237,187.8,-44.539,159.37,1
0.68714,-110.95,276.76,-81.139,202.63,1
0.70427,-294.29,418.52,-166.3,240.42,1
0.71883,-612.89,481.4,-309,242.27,1
0.73372,-136.65,236.46,-102.84,176.83,1
0.74967,-14.392,60.005,-13.9,57.501,1
0.76699,-3.0216,13.975,-3.0204,13.942,1
0.78589,3.4612,61.791,3.3873,60.59,1
0.80502,27.574,121.34,24.368,107.17,1
0.82404,42.929,143.2,36.022,120,1
0.84287,38.312,132.84,32.766,113.39,1
0.86142,31.024,118.15,27.313,103.8,1
0.87969,24.009,103.41,21.743,93.473,1
0.89769,18.438,90.652,17.081,83.856,1
0.91549,14.401,80.475,13.562,75.707,1
0.93315,11.613,72.82,11.059,69.304,1
0.95072,9.7528,67.434,9.3548,64.666,1
0.96825,8.5768,64.07,8.261,61.721,1
0.98582,7.926,62.57,7.6468,60.407,1
1.0035,7.7641,62.891,7.4878,60.717,1
1.0213,8.4347,65.329,8.1184,62.9,1
1.0391,10.276,70.502,9.8249,67.385,1
1.0569,11.253,72.646,10.726,69.194,1
1.0746,11.221,71.757,10.708,68.408,1
1.0921,10.572,68.965,10.126,65.978,1
1.1095,9.423,64.53,9.0766,62.075,1
1.1267,7.9382,58.882,7.6956,57.015,1
1.1438,6.1451,52.352,5.9946,51.048,1
1.1608,4.5141,45.879,4.4311,45.028,1
